instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"DING, QINGHUA",4.3,1.9,13,76%,https://www.ratemyprofessors.com/professor/2354857,Geography,"CARING, CLEAR GRADING CRITERIA, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, TEST HEAVY, AMAZING LECTURES, RESPECTED"
"SCHRANCK, JOHN",4.3,2.6,11,81%,https://www.ratemyprofessors.com/professor/2900362,Writing,"GIVES GOOD FEEDBACK, CARING, PARTICIPATION MATTERS, AMAZING LECTURES, GROUP PROJECTS, CLEAR GRADING CRITERIA, HILARIOUS"
"STEMMER, SUZANNE",2.0,3.4,11,50%,https://www.ratemyprofessors.com/professor/559239,Engineering,"CLEAR GRADING CRITERIA, TESTS? NOT MANY"
"MARDEN, JASON",4.6,3.7,11,90%,https://www.ratemyprofessors.com/professor/2550477,Electrical & Comp. Engineering,"AMAZING LECTURES, CLEAR GRADING CRITERIA, TOUGH GRADER, GET READY TO READ, EXTRA CREDIT, TEST HEAVY"
"CHIANG, HUNG",2.8,2.7,9,55%,https://www.ratemyprofessors.com/professor/3125688,Mathematics,"EXTRA CREDIT, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, TOUGH GRADER, PARTICIPATION MATTERS, TEST HEAVY"
"CARLINI, ANDREA",3.0,3.9,7,71%,https://www.ratemyprofessors.com/professor/2988223,Chemistry,"TEST HEAVY, EXTRA CREDIT, LOTS OF HOMEWORK, CLEAR GRADING CRITERIA, TOUGH GRADER, RESPECTED, GET READY TO READ, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS"
"WANG, ERIC",3.3,2.7,3,33%,https://www.ratemyprofessors.com/professor/3160343,Computer Science,"LECTURE HEAVY, GET READY TO READ, PARTICIPATION MATTERS, EXTRA CREDIT, CLEAR GRADING CRITERIA, TEST HEAVY"
"LEONARD, NADIA",4.0,4.0,1,100%,https://www.ratemyprofessors.com/professor/3076493,Chemistry,"INSPIRATIONAL, CARING, TEST HEAVY"
"GELLER, ROBERT",3.4,3.3,291,51%,https://www.ratemyprofessors.com/professor/73600,Physics,"LOTS OF HOMEWORK, TOUGH GRADER, AMAZING LECTURES, TEST HEAVY, GET READY TO READ, GRADED BY FEW THINGS, LECTURE HEAVY"
"LOW, SENG",2.4,4.3,242,21%,https://www.ratemyprofessors.com/professor/1256774,Biology,"TEST HEAVY, TOUGH GRADER, LECTURE HEAVY, GRADED BY FEW THINGS, HILARIOUS"
"KHARITONOVA, YEKATERINA KATE",2.5,3.5,188,34%,https://www.ratemyprofessors.com/professor/2450605,Computer Science,"LOTS OF HOMEWORK, TOUGH GRADER, CARING, PARTICIPATION MATTERS, BEWARE OF POP QUIZZES, GROUP PROJECTS, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, ONLINE SAVVY, LECTURE HEAVY"
